Vaccines	Cosine	z-score
FMDV DNA Vaccine encoding P1 and non-structural proteins 2A, 3C, and 3D OR Foot and mouth disease DNA vaccine pWRMHX encoding a minimal self-cleaving ribozyme OR Foot-and-Mouth Disease Virus Cationic Microparticle-coated DNA Vaccine OR Foot-and-Mouth Disease Virus DNA Vaccine pSinCMV-Vac-MEG990	0.4455238857385011	2.733819162421772
Feline infectiour peritonitis virus 3abc mutant vaccine OR Feline Infectious Peritonitis Modified Live Virus Vaccine (USDA: 15A1.20) OR Feline infectious peritonitis virus 7ab mutant vaccine	0.43460709082451826	2.6148282832778453
Porcine Rotavirus Modified Live Virus Vaccine (USDA: 19E1.20) OR Porcine Rotavirus-Transmissible Gastroenteritis Modified Live Virus Vaccine (USDA: 19H1.20)	0.3762195024960235	1.9784152590300048
Bovine Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1161.00) OR Bovine Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1161.20) OR Bovine respiratory syncytial virus glycoprotein G mutant vaccine OR Bovine Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1095.20) OR Bovine Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1095.21) OR Bovine Respiratory Syncytial Virus Killed Virus Vaccine-Haemophilus Somnus Bacterin (USDA: 40A5.20) OR Bovine Respiratory Syncytial Virus recombinant vector vaccine BHVl/BRSVG encoding the G protein OR Bovine Respiratory Syncytial Virus Vaccine Modified Live Virus (USDA: 1091.20) OR Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.00) OR Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.20) OR Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.21) OR Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.22) OR Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 1071.23) OR Bovine Rhinotracheitis-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 11B5.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.00) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.21) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.23) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.24) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.25) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.26) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.28) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus  Modified Live Virus Vaccine (USDA: 1181.30) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1185.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44M5.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44M5.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B5.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B6.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B6.21) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.21) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1187.25) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1189.00) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1189.21) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine (USDA: 1189.30) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B9.21) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live & Killed Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B9.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.23) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 44B1.25) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Hardjo Bacterin (USDA: 4L49.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus-Mannheimia Haemolytica-Pasteurella Multocida Modified Live Virus, Avirulent Live Culture Vaccine (USDA: 11A8.22) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 11A5.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.26) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine (USDA: 11A1.30) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4367.20) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4367.26) OR Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4367.30) OR Bovine Virus Diarrhea-Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 12A5.20) OR BRSV DNA vaccine VCL-Fb	0.3641759279448679	1.8471427074093951
CAdVax-Den12/Den34 OR Dengue DNA Vaccine encoding NS1 Protein OR Dengue Subunit E Protein Vaccine OR Dengue Vaccine using Vaccinia Virus expressing M Protein OR Dengue Vaccine using Vaccinia Virus expressing prM Protein OR Dengue virus DNA vaccine 1040D2MEL encoding dengue-2 prM-E-LAMP chimeric protein OR Dengue virus DNA vaccine D1ME encoding prM and E OR Dengue Virus DNA Vaccine D1ME-VRP OR Dengue Virus DNA Vaccine encoding NS1 OR Dengue Virus DNA Vaccine expressing prM/E proteins OR Dengue virus DNA vaccine p1012D2ME encoding prM and E from DEN 2 New Guinea C strain OR Dengue virus DNA vaccine pcTPANS1 encoding NS1 fused to the tissue plasminogen activator signal sequence OR Dengue virus DNA vaccine pE1D2 encoding E from Dengue Virus 2 strain New Guinea C OR Dengue virus DNA vaccine sA encoding prM and E from Dengue Virus 4 OR Dengue virus DNA vaccine sABC encoding prM and E OR Dengue virus DNA vaccine sB encoding E OR Dengue virus DNA vaccine sC encoding prM and E	0.3530299149321731	1.725653396876371
ALVAC-BTV-CP(VP2/VP5) OR ALVAC-BTV-VP2/VP5 OR Bluetongue Modified Live Virus Vaccine (USDA: 1061.00) OR BoHV-4-A-IgK-VP2gD OR rCPV-BTV-Cpox OR SG33-VP2/5	0.3370391073515592	1.5513567954259346
African Swine Fever Virus 9GL mutant vaccine OR BacMam-sHAPQ	0.33105964941673316	1.4861819009559702
REV DNA vaccine VP22/gag and VP22/env	0.3266040887314253	1.437617181438814
ALVAC-JEV OR Ixiaro OR Japanese encephalitis virus (JEV) OR Japanese encephalitis virus DNA vaccine encoding E protein OR Japanese encephalitis virus DNA vaccine encoding NS1 (pUSK-NS1) OR Japanese encephalitis virus DNA vaccine encoding PrM OR Japanese encephalitis virus DNA Vaccine P-JEV OR Japanese encephalitis virus DNA Vaccine pCJ-3/E encoding E OR Japanese encephalitis virus DNA vaccine pUJENS3 OR Japanese encephalitis virus DNA vaccine pUJENS5 OR Japanese encephalitis virus vaccine BV-G-E OR JE-Vax OR NYVAC-JEV OR NYVAC-JEV- prM/E/ NS1	0.3261688706002166	1.432873390934371
Bursal Disease Killed Virus Vaccine (USDA: 1275.00) OR Bursal Disease Killed Virus Vaccine (USDA: 1275.02) OR Bursal Disease Killed Virus Vaccine (USDA: 1275.20) OR Bursal Disease Live Virus Vaccine (USDA: 1271.00) OR Bursal Disease Live Virus Vaccine (USDA: 1271.01) OR Bursal Disease Live Virus Vaccine (USDA: 1271.02) OR Bursal Disease Live Virus Vaccine (USDA: 1271.04) OR Bursal Disease Live Virus Vaccine (USDA: 1271.0A) OR Bursal Disease Live Virus Vaccine (USDA: 1271.10) OR Bursal Disease Live Virus Vaccine (USDA: 1271.11) OR Bursal Disease Live Virus Vaccine (USDA: 1271.12) OR Bursal Disease Live Virus Vaccine (USDA: 1271.13) OR Bursal Disease Live Virus Vaccine (USDA: 1271.16) OR Bursal Disease Live Virus Vaccine (USDA: 1271.17) OR Bursal Disease Live Virus Vaccine (USDA: 1271.18) OR Bursal Disease Live Virus Vaccine (USDA: 1271.19) OR Bursal Disease Live Virus Vaccine (USDA: 1271.40) OR Bursal Disease Live Virus Vaccine (USDA: 1271.41) OR Bursal Disease Live Virus Vaccine (USDA: 1272.00) OR Bursal Disease Modified Live VirusVaccine (USDA: 1271.15) OR Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.01) OR Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.40) OR Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.41) OR Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.4A) OR Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.00) OR Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.01) OR Bursal Disease Variant, Killed Virus Vaccine (USDA: 12A5.00) OR Bursal Disease Variant, Live Virus Vaccine (USDA: 12L1.00) OR Bursal Disease-Marek's Disease Serotype 3, Live Marek's Disease Vector Vaccine (USDA: 1A88.R0) OR Bursal Disease-Marek's Disease Serotype 3, Live Virus Vaccine (USDA: 1288.42) OR Bursal Disease-Marek's Disease Serotype 3, Live Virus Vaccine (USDA: 1288.4A) OR Bursal Disease-Marek's Disease Serotype 3, Live Virus Vaccine (USDA: 1A82.50) OR Bursal Disease-Marek's Disease Serotypes 1 & 2 & 3, Live Virus, Live Marek's Disease Vector Vaccine (USDA: 1281.R0) OR Bursal Disease-Marek's Disease Serotypes 1 & 2 & 3, Live Virus, Live Marek's Disease Vector Vaccine (USDA: 1281.R0) OR Bursal Disease-Marek's Disease Serotypes 1 & 3, Live Virus, Live Marek's Disease Vector Vaccine (USDA: 1281.R1) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 1288.43) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 1288.44) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 1288.45) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 1B82.50) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus, Live Marek's Disease Vector Vaccine (USDA: 1A88.R1) OR Bursal Disease-Marek's Disease Serotypes 2 & 3, Live Virus, Live Marek's Disease Vector Vaccine (USDA: 1A88.R2) OR Bursal Disease-Marek's Disease Standard & Variant, Serotype 3, Live Virus Vaccine (USDA: 12C8.40) OR Bursal Disease-Marek's Disease Standard & Variant, Serotype 3, Live Virus Vaccine (USDA: 12C8.43) OR Bursal Disease-Marek's Disease Standard & Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: 12C8.42) OR Bursal Disease-Marek's Disease Standard & Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: 12C8.44) OR Bursal Disease-Marek's Disease Variant Strain, Serotypes 2 & 3, Live Virus Vaccine (USDA: 12C2.52) OR Bursal Disease-Marek's Disease Variant, Serotype 3, Live Virus Vaccine (USDA: 1282.50) OR Bursal Disease-Marek's Disease Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: ) OR Bursal Disease-Marek's Disease Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: 12C2.50) OR Bursal Disease-Marek's Disease Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: 12C2.51) OR Bursal Disease-Newcastle Disease Killed Virus Vaccine (USDA: 12G5.10) OR Bursal Disease-Newcastle Disease Killed Virus Vaccine (USDA: 12G5.11) OR Bursal Disease-Newcastle Disease Killed Virus Vaccine (USDA: 12G5.43) OR Bursal Disease-Newcastle Disease Standard & Variant, Killed Virus Vaccine (USDA: 12G5.42) OR Bursal Disease-Newcastle Disease-Bronchitis B1 Type, B1 Strain, Mass & Ark Types, Live Virus Vaccine (USDA: 12H1.4M) OR Bursal Disease-Newcastle Disease-Bronchitis B1 Type, B1 Strain, Mass & Ark Types, Live Virus Vaccine (USDA: 12H1.67) OR Bursal Disease-Newcastle Disease-Bronchitis Mass Type, Killed Virus Vaccine (USDA: 12J5.40) OR Bursal Disease-Newcastle Disease-Bronchitis Mass Type, Killed Virus Vaccine (USDA: 12J5.43) OR Bursal Disease-Newcastle Disease-Bronchitis Mass Type, Killed Virus Vaccine (USDA: 12J5.62) OR Bursal Disease-Newcastle Disease-Bronchitis Standard & Variant, Mass & Ark Types, Killed Virus Vaccine (USDA: 12D5.45) OR Bursal Disease-Newcastle Disease-Bronchitis Standard & Variant, Mass Type, Killed Virus Vaccine (USDA: 12J5.61) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus  Standard & Variant, Mass Type, Killed Virus Vaccine (USDA: 12M5.00) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus  Standard & Variant, Mass Type, Killed Virus Vaccine (USDA: 12M5.01) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Killed Virus Vaccine (USDA: 12M5.40) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Mass Type, Killed Virus Vaccine (USDA: 12M5.11) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Mass Type, Killed Virus Vaccine (USDA: 12M5.43) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Mass Type, Killed Virus Vaccine (USDA: 12M5.50) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Mass Type, Killed Virus Vaccine (USDA: 12M5.90) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Mass Type, Killed Virus Vaccine (USDA: 12M5.91) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Standard & Variant, Mass & Ark Types, Killed Virus Vaccine (USDA: 12M5.41) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Standard & Variant, Mass & Ark Types, Killed Virus Vaccine (USDA: 12M5.42) OR Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Standard & Variant, Mass Type, Killed Virus Vaccine (USDA: 12M5.E0) OR Bursal Disease-Newcastle Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12P5.40) OR Bursal Disease-Newcastle Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12P5.41) OR Bursal Disease-Newcastle Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12P5.E0) OR Bursal Disease-Reovirus Killed Virus Vaccine (USDA: 12D5.02) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.01) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.03) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.04) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.30) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.E0) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.F0) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.F1) OR Bursal Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12D5.T0) OR BV-Dual-S1 OR fp-IBD1 OR FP-IBDV-VP2 OR IBDV DNA vaccine pCAGoptiVP2/rVP2 OR IBDV DNA vaccine pCAGVP243-IL-18 OR Infectious Bursal Disease Virus DNA Vaccine expressing VP2 OR rFPV-IBDV-VP 2.4.3 OR rFPV-IBDV-VP2 OR rMDV-IBDV-VP2	0.32613032702028116	1.432453273629062
